angle,speed,percent
70,0-2,0.008
70,2-5,0.000
70,5-7,0.000
70,7-10,0.000
70,10-15,0.000
70,15-20,0.000
70,20+,0.000
170,0-2,0.000
170,2-5,0.008
170,5-7,0.000
170,7-10,0.000
170,10-15,0.000
170,15-20,0.000
170,20+,0.000
190,0-2,0.000
190,2-5,0.008
190,5-7,0.000
190,7-10,0.000
190,10-15,0.000
190,15-20,0.000
190,20+,0.000
200,0-2,0.000
200,2-5,0.008
200,5-7,0.008
200,7-10,0.000
200,10-15,0.000
200,15-20,0.000
200,20+,0.000
210,0-2,0.000
210,2-5,0.023
210,5-7,0.015
210,7-10,0.000
210,10-15,0.000
210,15-20,0.000
210,20+,0.000
220,0-2,0.008
220,2-5,0.054
220,5-7,0.000
220,7-10,0.000
220,10-15,0.000
220,15-20,0.000
220,20+,0.000
230,0-2,0.008
230,2-5,0.038
230,5-7,0.008
230,7-10,0.000
230,10-15,0.000
230,15-20,0.000
230,20+,0.000
240,0-2,0.015
240,2-5,0.046
240,5-7,0.008
240,7-10,0.000
240,10-15,0.000
240,15-20,0.000
240,20+,0.000
250,0-2,0.000
250,2-5,0.038
250,5-7,0.008
250,7-10,0.000
250,10-15,0.000
250,15-20,0.000
250,20+,0.000
260,0-2,0.038
260,2-5,0.046
260,5-7,0.000
260,7-10,0.000
260,10-15,0.000
260,15-20,0.000
260,20+,0.000
270,0-2,0.015
270,2-5,0.062
270,5-7,0.015
270,7-10,0.000
270,10-15,0.000
270,15-20,0.000
270,20+,0.000
280,0-2,0.023
280,2-5,0.054
280,5-7,0.008
280,7-10,0.000
280,10-15,0.000
280,15-20,0.000
280,20+,0.000
290,0-2,0.015
290,2-5,0.008
290,5-7,0.015
290,7-10,0.000
290,10-15,0.000
290,15-20,0.000
290,20+,0.000
300,0-2,0.015
300,2-5,0.077
300,5-7,0.031
300,7-10,0.000
300,10-15,0.000
300,15-20,0.000
300,20+,0.000
310,0-2,0.000
310,2-5,0.069
310,5-7,0.000
310,7-10,0.000
310,10-15,0.000
310,15-20,0.000
310,20+,0.000
320,0-2,0.008
320,2-5,0.038
320,5-7,0.008
320,7-10,0.000
320,10-15,0.000
320,15-20,0.000
320,20+,0.000
330,0-2,0.000
330,2-5,0.008
330,5-7,0.000
330,7-10,0.000
330,10-15,0.000
330,15-20,0.000
330,20+,0.000
340,0-2,0.008
340,2-5,0.008
340,5-7,0.008
340,7-10,0.000
340,10-15,0.000
340,15-20,0.000
340,20+,0.000
350,0-2,0.000
350,2-5,0.008
350,5-7,0.008
350,7-10,0.000
350,10-15,0.000
350,15-20,0.000
350,20+,0.000
360,0-2,0.100
360,2-5,0.000
360,5-7,0.000
360,7-10,0.000
360,10-15,0.000
360,15-20,0.000
360,20+,0.000
